დასახელება,მახასიათებლები,ფასი ლარებში-დოლარებში
იყიდება 2014 წლიანი Nissan Skyline   რუსთავში,"
 326311 კმ
 ავტომატიკა
 2.5 ბუნებრივი აირი
 მარცხენა
","
 2 310
6 620


₾

$"
იყიდება 2014 წლიანი Volkswagen Passat   რუსთავში,"
 192000 კმ
 ავტომატიკა
 1.8 ბენზინი
 მარცხენა
","
 6 540
18 700


₾

$"
იყიდება 2014 წლიანი Volkswagen Passat   რუსთავში,"
 41600 კმ
 ავტომატიკა
 1.8 ბენზინი
 მარცხენა
","
 6 840
19 600


₾

$"
იყიდება 2014 წლიანი Hyundai Elantra   რუსთავში,"
 205 კმ
 ავტომატიკა
 1.8 ბენზინი
 მარცხენა
","
 6 040
17 300


₾

$"
იყიდება 2016 წლიანი Toyota Fortuner   რუსთავში,"
 140800 კმ
 ავტომატიკა
 4.0 ბენზინი
 მარცხენა
","
 17 600
50 300


₾

$"
იყიდება 2016 წლიანი Toyota Fortuner   რუსთავში,"
 139200 კმ
 ავტომატიკა
 4.0 ბენზინი
 მარცხენა
","
 28 700
82 000


₾

$"
იყიდება 2008 წლიანი Cadillac Escalade   რუსთავში,"
 114 კმ
 ავტომატიკა
 6.2 ბენზინი
 მარცხენა
","
 9 050
25 900


₾

$"
იყიდება 2014 წლიანი Kia Optima   რუსთავში,"
 123 კმ
 ავტომატიკა
 2.4 ბენზინი
 მარცხენა
","
 6 440
18 400


₾

$"
იყიდება 2007 წლიანი Chevrolet Aveo   რუსთავში,"
 2290 კმ
 მექანიკა
 1.4 ბენზინი
 მარცხენა
","
 2 210
6 330


₾

$"
იყიდება 2013 წლიანი BMW X5 M   თბილისში,"
 225000 კმ
 ტიპტრონიკი
 3.0 ბენზინი
 მარცხენა
","
 13 000
37 200


₾

$"
იყიდება 2008 წლიანი Toyota Camry   თბილისში,"
 395280 კმ
 ავტომატიკა
 2.4 ჰიბრიდი
 მარცხენა
","
 4 200
12 000


₾

$"
იყიდება 1994 წლიანი Nissan Largo   თბილისში,"
 195 კმ
 ავტომატიკა
 2.0 დიზელი
 მარჯვენა
","
 3 200
9 150


₾

$"
იყიდება 2014 წლიანი BMW 328   რუსთავში,"
 146 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 10 500
30 000


₾

$"
იყიდება 2017 წლიანი Hyundai Elantra   რუსთავში,"
 3520 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 7 920
22 600


₾

$"
იყიდება 2016 წლიანი Volkswagen Tiguan   რუსთავში,"
 88 კმ
 ავტომატიკა
 2.0 ბენზინი
 მარცხენა
","
 11 400
32 500


₾

$"
იყიდება 2018 წლიანი Toyota Ractis   რუსთავში,"
 125500 კმ
 მექანიკა
 1.5 ბენზინი
 მარცხენა
","
 3 550
10 200


₾

$"
იყიდება 2015 წლიანი Lincoln Navigator   რუსთავში,"
 70600 კმ
 ავტომატიკა
 3.5 ბენზინი
 მარცხენა
","
 21 300
61 000


₾

$"
იყიდება 2021 წლიანი Toyota Camry   რუსთავში,"
 3200 კმ
 ავტომატიკა
 2.5 ბენზინი
 მარცხენა
","
 23 400
66 800


₾

$"
